Name	Latitude	Longitude	H	Code	Northings	Eastings	Elevation	HSDV	VSDV	STATUS	SATS	AGE	PDOP	HDOP	VDOP	TDOP	GDOP	NSDV	ESDV	DATE	TIME	RODHGT
1	+32.962454936053	-117.268455414883	-31.780992000	""	3647156.686361174	474911.359796705	3.047983885	HSDV:0.010	VSDV:0.019	STATUS:FIXED	SATS:10	AGE:1.0	PDOP:1.826	HDOP:0.981	VDOP:1.540	TDOP:1.725	GDOP:2.512	NSDV:0.008	ESDV:0.006	DATE:06-14-2025	TIME:06:50:32	RODHGT2:0.000
2	+32.962637016892	-117.268493542519	-31.767921000	""	3647176.880914705	474907.848014440	3.060829546	HSDV:0.010	VSDV:0.018	STATUS:FIXED	SATS:13	AGE:0.0	PDOP:1.658	HDOP:0.925	VDOP:1.376	TDOP:1.541	GDOP:2.263	NSDV:0.008	ESDV:0.006	DATE:06-14-2025	TIME:06:51:19	RODHGT2:0.000
3	+32.962548751942	-117.268427668039	-31.852646000	""	3647167.080173665	474913.979411479	2.975910473	HSDV:0.010	VSDV:0.018	STATUS:FIXED	SATS:13	AGE:0.0	PDOP:1.655	HDOP:0.926	VDOP:1.371	TDOP:1.536	GDOP:2.258	NSDV:0.008	ESDV:0.006	DATE:06-14-2025	TIME:06:52:08	RODHGT2:0.000
4	+32.962545940017	-117.268336521422	-31.806058000	""	3647166.746734257	474922.496788136	3.021922152	HSDV:0.010	VSDV:0.018	STATUS:FIXED	SATS:12	AGE:0.0	PDOP:1.908	HDOP:0.991	VDOP:1.630	TDOP:1.868	GDOP:2.670	NSDV:0.008	ESDV:0.006	DATE:06-14-2025	TIME:06:52:59	RODHGT2:0.000
5	+32.962653800233	-117.268352332072	-31.810688000	""	3647178.707875677	474921.049664199	3.017115157	HSDV:0.010	VSDV:0.020	STATUS:FIXED	SATS:10	AGE:0.0	PDOP:2.430	HDOP:1.070	VDOP:2.182	TDOP:2.489	GDOP:3.479	NSDV:0.008	ESDV:0.006	DATE:06-14-2025	TIME:06:53:48	RODHGT2:0.000
6	+32.962479787761	-117.268803934928	-33.837317000	""	3647159.524507912	474878.795609379	0.993826681	HSDV:0.013	VSDV:0.023	STATUS:FIXED	SATS:12	AGE:0.0	PDOP:1.834	HDOP:0.954	VDOP:1.567	TDOP:1.787	GDOP:2.561	NSDV:0.010	ESDV:0.008	DATE:06-14-2025	TIME:07:02:30	RODHGT2:0.000
7	+32.962695530650	-117.268838951608	-33.915677000	""	3647183.450103941	474875.584158179	0.915134115	HSDV:0.011	VSDV:0.020	STATUS:FIXED	SATS:12	AGE:0.0	PDOP:1.840	HDOP:0.957	VDOP:1.571	TDOP:1.792	GDOP:2.568	NSDV:0.009	ESDV:0.008	DATE:06-14-2025	TIME:07:03:24	RODHGT2:0.000
8	+32.962603839542	-117.268693838806	-33.182827000	""	3647173.250620841	474889.119818144	1.647291679	HSDV:0.012	VSDV:0.020	STATUS:FIXED	SATS:12	AGE:0.0	PDOP:1.844	HDOP:0.960	VDOP:1.574	TDOP:1.796	GDOP:2.574	NSDV:0.009	ESDV:0.008	DATE:06-14-2025	TIME:07:04:03	RODHGT2:0.000
9	+32.962485656475	-117.268629149842	-32.778352000	""	3647160.133430403	474895.131944766	2.051657237	HSDV:0.011	VSDV:0.018	STATUS:FIXED	SATS:12	AGE:0.0	PDOP:1.848	HDOP:0.963	VDOP:1.577	TDOP:1.799	GDOP:2.579	NSDV:0.008	ESDV:0.007	DATE:06-14-2025	TIME:07:04:58	RODHGT2:0.000
10	+32.962669770958	-117.268638413442	-32.786616000	""	3647180.546557841	474894.318277347	2.042977554	HSDV:0.010	VSDV:0.017	STATUS:FIXED	SATS:13	AGE:0.0	PDOP:1.447	HDOP:0.861	VDOP:1.164	TDOP:1.260	GDOP:1.919	NSDV:0.008	ESDV:0.007	DATE:06-14-2025	TIME:07:05:41	RODHGT2:0.000
11	+32.962774677689	-117.268846107514	-33.918508000	""	3647192.226046846	474874.937800086	0.912144309	HSDV:0.010	VSDV:0.016	STATUS:FIXED	SATS:13	AGE:0.0	PDOP:1.367	HDOP:0.804	VDOP:1.106	TDOP:1.169	GDOP:1.799	NSDV:0.007	ESDV:0.007	DATE:06-14-2025	TIME:07:11:14	RODHGT2:0.000
12	+32.962918073006	-117.268868826797	-33.981285000	""	3647208.128263535	474872.855147622	0.849141553	HSDV:0.010	VSDV:0.016	STATUS:FIXED	SATS:13	AGE:0.0	PDOP:1.369	HDOP:0.803	VDOP:1.109	TDOP:1.171	GDOP:1.801	NSDV:0.007	ESDV:0.007	DATE:06-14-2025	TIME:07:11:56	RODHGT2:0.000
13	+32.962869745789	-117.268757243689	-33.518711000	""	3647202.744091273	474883.269508469	1.311126275	HSDV:0.010	VSDV:0.017	STATUS:FIXED	SATS:13	AGE:0.0	PDOP:1.370	HDOP:0.801	VDOP:1.111	TDOP:1.172	GDOP:1.803	NSDV:0.008	ESDV:0.007	DATE:06-14-2025	TIME:07:12:43	RODHGT2:0.000
14	+32.962775810942	-117.268650428031	-32.828860000	""	3647192.305007841	474893.225437674	2.000536435	HSDV:0.010	VSDV:0.017	STATUS:FIXED	SATS:13	AGE:0.0	PDOP:1.371	HDOP:0.800	VDOP:1.114	TDOP:1.174	GDOP:1.805	NSDV:0.008	ESDV:0.007	DATE:06-14-2025	TIME:07:13:30	RODHGT2:0.000
15	+32.962920563567	-117.268674639192	-33.009347000	""	3647208.358047327	474891.003715722	1.819829788	HSDV:0.010	VSDV:0.016	STATUS:FIXED	SATS:13	AGE:0.0	PDOP:1.373	HDOP:0.799	VDOP:1.117	TDOP:1.176	GDOP:1.808	NSDV:0.007	ESDV:0.007	DATE:06-14-2025	TIME:07:14:26	RODHGT2:0.000
16	+32.962777578219	-117.268539332828	-31.777007000	""	3647192.474446046	474903.608390930	3.051673586	HSDV:0.010	VSDV:0.015	STATUS:FIXED	SATS:13	AGE:0.0	PDOP:1.386	HDOP:0.789	VDOP:1.139	TDOP:1.188	GDOP:1.825	NSDV:0.007	ESDV:0.007	DATE:06-14-2025	TIME:07:21:07	RODHGT2:0.000
17	+32.962942122258	-117.268551692761	-31.834808000	""	3647210.718733362	474902.499807715	2.993525843	HSDV:0.010	VSDV:0.015	STATUS:FIXED	SATS:13	AGE:0.0	PDOP:1.387	HDOP:0.788	VDOP:1.141	TDOP:1.189	GDOP:1.827	NSDV:0.007	ESDV:0.007	DATE:06-14-2025	TIME:07:21:53	RODHGT2:0.000
18	+32.962858487981	-117.268471024167	-31.632259000	""	3647201.427819384	474910.015076337	3.195774987	HSDV:0.010	VSDV:0.015	STATUS:FIXED	SATS:13	AGE:0.0	PDOP:1.389	HDOP:0.788	VDOP:1.144	TDOP:1.190	GDOP:1.829	NSDV:0.007	ESDV:0.007	DATE:06-14-2025	TIME:07:22:35	RODHGT2:0.000
19	+32.962813662681	-117.268385543494	-31.766626000	""	3647196.438125882	474917.991039463	3.060976743	HSDV:0.010	VSDV:0.016	STATUS:FIXED	SATS:12	AGE:0.0	PDOP:1.445	HDOP:0.830	VDOP:1.182	TDOP:1.244	GDOP:1.906	NSDV:0.007	ESDV:0.007	DATE:06-14-2025	TIME:07:23:29	RODHGT2:0.000
20	+32.962954291561	-117.268439915506	-31.655602000	""	3647212.041186586	474912.949422391	3.171984787	HSDV:0.010	VSDV:0.016	STATUS:FIXED	SATS:12	AGE:0.0	PDOP:1.446	HDOP:0.829	VDOP:1.185	TDOP:1.245	GDOP:1.908	NSDV:0.007	ESDV:0.007	DATE:06-14-2025	TIME:07:24:14	RODHGT2:0.000
21	+32.963059225769	-117.268553395825	-31.906744000	""	3647223.701227278	474902.373755344	2.921297147	HSDV:0.010	VSDV:0.015	STATUS:FIXED	SATS:13	AGE:0.0	PDOP:1.407	HDOP:0.780	VDOP:1.171	TDOP:1.202	GDOP:1.851	NSDV:0.007	ESDV:0.007	DATE:06-14-2025	TIME:07:32:39	RODHGT2:0.000
22	+32.963373320031	-117.268607490364	-32.629219000	""	3647258.534592983	474897.407161648	2.198351949	HSDV:0.010	VSDV:0.015	STATUS:FIXED	SATS:12	AGE:0.0	PDOP:1.498	HDOP:0.812	VDOP:1.258	TDOP:1.341	GDOP:2.011	NSDV:0.007	ESDV:0.007	DATE:06-14-2025	TIME:07:33:39	RODHGT2:0.000
